极速频,#genre#

寰宇新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwt.flv
寰宇台湾,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwttw.flv
中天新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/ztxwt.flv
TVBSHD,http://flvforhls-pull-goldendragon.speedws.com/live/TVBSt.flv
NATURE,http://flvforhls-pull-goldendragon.speedws.com:80/live/7d5f20760e822b71a37ce8150c051891.flv
纬来体育,https://live12.xiazhix1.top/live/41890675.m3u8
凤凰中文,https://livepull1.longone.com.cn/live/fhzw-JVzkSnourhQKs7vTpYj1rD6w7FdAbzgiHIP5IY4PerIbvKZp0DPE3L1YNnVRdLx2lR.flv
凤凰资讯,https://livepull1.longone.com.cn/live/fhzx-eznWVH4LpX1YIDRYabCaTOikzHyd75EJHrJaApodqAGHurLYo24JoPHgmljTTEk2tP.flv
凤凰香港,https://livepull1.longone.com.cn/live/fhxg-B2hy0Rfuyns77wDa65nwVfmacxdIBcvQqEDVtU6stQ97out7ve2tAmObwbQaIbJMpY.flv
TVB翡翠,https://livepull1.longone.com.cn/live/fc-DjO16WjkMjTzGEJAaIYRYX6KF0qFyIu3r3xhexYzWcgkOCODXmXOJjEosvEN9WD8HE.flv
TVB明珠,https://livepull1.longone.com.cn/live/mz-BSiV4DIH3Qioo67O7vqDQtOjpjxkM1vLhWvmbKPO8XQQUTmXADAvbeJN92wj2tvYh9.flv
无线新闻,http://push-ali.cloudvdn.com/live/nfstGWgqERsuUlTArwrmNTXQxBTcU603Mo4w3HmiLmDVxEUUj6llvDVHCKJv60zuzAEN.flv
TVB plus,https://livepull1.longone.com.cn/live/tvb-KGhfThCwqWGSnut5B8jFjcPfxqXfVsEx8kMdF3rC6P31blPC8SoFdchCEgMh3SznKW.flv
HOY76台,https://livepull1.longone.com.cn/live/76-a6H5rbBX6VRFx4jDoeCYQOsuCBBfGUpFqFLLK85Fs1hSflC5aV1mN3JdepvQHogTDW.flv
HOY77台,https://livepull1.longone.com.cn/live/77-FXlnwZkgpixAiOHibJ7n1EdM4wGq7eMXyot9T7179oDwSQbofGA3OUK3Wom1qb1yHH.flv
HOY78台,https://livepull1.longone.com.cn/live/78-re0ta4ByoDbn6vBTqBG5l3DxWNn7muCDFC63xJYfe6nDc3foYnUMkjAHwdvvayvnuv.flv
酷哒哒频,http://o11.163189.xyz/stream/live/test/
无线翡翠,https://o11.163189.xyz/stream/tvb/fct/
无线明珠,https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠,https://o11.163189.xyz/stream/live/hlt/
千禧经典,https://o11.163189.xyz/stream/live/tvbc/
天映经典,https://o11.163189.xyz/stream/live/ccm/
天映频道,https://o11.163189.xyz/stream/live/typd/
爱奇艺台,https://o11.163189.xyz/stream/live/iqiyi/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
AstroAod,https://o11.163189.xyz/stream/live/aod/
AstroAec,https://o11.163189.xyz/stream/live/aec/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
成龙电影,http://38.75.136.137:98/gslb/dsdqpub/lbcl.m3u8?auth=testpub
正英电影,http://38.75.136.137:98/gslb/dsdqpub/lblzy.m3u8?auth=testpub
润发电影,http://38.75.136.137:98/gslb/dsdqpub/lbzrf.m3u8?auth=testpub
星驰电影,http://38.75.136.137:98/gslb/dsdqpub/lbzxc.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj

港推流,#genre#
凤凰卫视中文台,http://pull-vivek.speedws.com/live/aaafhzw.flv
凤凰卫视资讯台,http://pull-vivek.speedws.com/live/aaafhzx.flv
凤凰卫视香港台,http://pull-vivek.speedws.com/live/aaafhxg.flv
TVB翡翠台,http://pull-vivek.speedws.com/live/aaajade.flv
无线新闻台,http://pull-vivek.speedws.com/live/aaawxxw.flv
TVB翡翠台,http://144.48.185.78:1777/tv/mg2.php?id=翡翠台1
无线新闻台,http://144.48.185.78:1777/tv/mg2.php?id=无线新闻台1
TVB PLUS,http://144.48.185.78:1777/tv/mg2.php?id=TVBPLUS1
TVB J1,http://144.48.185.78:1777/tv/mg2.php?id=J1
TVB明珠台,http://144.48.185.78:1777/tv/mg2.php?id=明珠台1
TVB千禧经典台,http://144.48.185.78:1777/tv/mg2.php?id=TVB千禧经典台
TVB华丽翡翠,http://144.48.185.78:1777/tv/mg2.php?id=华丽翡翠台
TVB功夫武侠,http://144.48.185.78:1777/tv/mg2.php?id=功夫武侠
有线跑马台,http://144.48.185.78:1777/tv/mg2.php?id=有线18跑马
now新闻,http://144.48.185.78:1777/tv/mg2.php?id=now新闻1
now新闻,http://144.48.185.78:1777/tv/mg2.php?id=now新闻2
now财经,http://144.48.185.78:1777/tv/mg2.php?id=now财经
now直播,http://144.48.185.78:1777/tv/mg2.php?id=now直播
now sports,http://144.48.185.78:1777/tv/mg2.php?id=nowsports
HOY 76,http://144.48.185.78:1777/tv/mg2.php?id=HOY76一
HOY 77,http://144.48.185.78:1777/tv/mg2.php?id=HOY77一
HOY 78,http://144.48.185.78:1777/tv/mg2.php?id=HOY78一
ViuTV,http://144.48.185.78:1777/tv/mg2.php?id=ViuTV
ViuTV6,http://144.48.185.78:1777/tv/mg2.php?id=Viu6TV
TVB明珠台,http://pull-vivek.speedws.com/live/aaamingzhu.flv
TVB娱乐新闻,http://pull-vivek.speedws.com/live/aaaylxw.flv
Mytv千禧经典,http://pull-vivek.speedws.com/live/aaamqxjd.flv
Mytv SUPER FREE,http://pull-vivek.speedws.com/live/aaaSUPERFREE.flv
Mytv华语剧台,http://pull-vivek.speedws.com/live/aaahyjt.flv
Mytv亚洲剧台,http://pull-vivek.speedws.com/live/aaayzjt.flv
Mytv黄金华剧台,http://pull-vivek.speedws.com/live/aaahjhj.flv
Mytv黄金翡翠台,http://pull-vivek.speedws.com/live/aaahjfc.flv
Mytv戏曲台,http://pull-vivek.speedws.com/live/aaaxqt.flv
天映频道,http://pull-vivek.speedws.com/live/aaatypd.flv
天映经典,http://pull-vivek.speedws.com/live/aaatyjd.flv
Mytv跑马台,http://pull-vivek.speedws.com/live/aaapm18.flv
HOY 76,http://pull-vivek.speedws.com/live/aaahoy76.flv
HOY 77,http://pull-vivek.speedws.com/live/aaahoy77.flv
HOY 78,http://pull-vivek.speedws.com/live/aaahoy78.flv
ViuTV,http://pull-vivek.speedws.com/live/aaaviutv.flv
ViuTV6,http://pull-vivek.speedws.com/live/aaaviutv6.flv
POPC,http://pull-vivek.speedws.com/live/aaapopc.flv
美亚电影,http://pull-vivek.speedws.com/live/aaamydy.flv
ROCK综艺娱乐,http://pull-vivek.speedws.com/live/aaarock1.flv

湾推流,#genre#
中视,http://pull-vivek.speedws.com:80/live/ba60524dff98dcbbdaff26100190e91c.flv
华视,http://pull-vivek.speedws.com:80/live/67797f93ca6dff4f1e3f16bdd7a63290.flv
TVBS HD,http://pull-vivek.speedws.com/live/11ae3954de1c8bbd4211d59b3f499454.flv
中天新闻,http://pull-vivek.speedws.com:80/live/0d591663d1aa646963b19bc98f3b20bd.flv
中视新聞,http://pull-vivek.speedws.com:80/live/e9ee38cbbd953d637cd675dbab59b27a.flv
寰宇新闻,http://pull-vivek.speedws.com/live/cb8d610c3b1ccc8c9778c657bb1d6b62.flv
寰宇台湾,http://pull-vivek.speedws.com:80/live/c22afbae5e10cbd8fe69881a47a76d09.flv
寰宇财经台,http://pull-vivek.speedws.com:80/live/c5124534d445f8bc66b5d7db59936b33.flv
龙华卡通台,http://pull-vivek.speedws.com:80/live/e1946c2976382d5018fb6bff0060468b.flv
龙华洋片台,http://pull-vivek.speedws.com:80/live/4aedbc784a445cd14f65a02584af820d.flv
龙华电影台,http://pull-vivek.speedws.com:80/live/3fff627ab1bb286826325a7ed9b1cac7.flv
龙华日韩台,http://pull-vivek.speedws.com:80/live/acbd2706232b1ace352d17e18ec423c3.flv
龙华偶像台,http://pull-vivek.speedws.com:80/live/7637680a71aa49229dd836ba199157a3.flv
龙华戏剧台,http://pull-vivek.speedws.com:80/live/cd00889f63ffabe8bf53d5df71d3e921.flv
龙华经典台,http://pull-vivek.speedws.com:80/live/4fdd9c8b99f1f661545cb8b674dd7e7f.flv

测试频,#genre#
寰宇新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwt.flv
寰宇台湾,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwttw.flv
中天新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/ztxwt.flv
TVBS HD,http://flvforhls-pull-goldendragon.speedws.com/live/TVBSt.flv
TVBS新聞,http://flvforhls-pull-goldendragon.speedws.com:80/live/TVBSxwt.flv
中视新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/zsxw.flv
三立新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/slxw.flv
华视新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/hsxw.flv
华视频道,http://flvforhls-pull-goldendragon.speedws.com:80/live/hs.flv
中视频道,http://flvforhls-pull-goldendragon.speedws.com:80/live/zs.flv
民視新聞,http://flvforhls-pull-goldendragon.speedws.com:80/live/msxwt.flv
民視綜藝,http://flvforhls-pull-goldendragon.speedws.com:80/live/mszyt.flv
民視台灣,http://flvforhls-pull-goldendragon.speedws.com:80/live/mstwt.flv
民視第一,http://flvforhls-pull-goldendragon.speedws.com:80/live/msdyt.flv
民視频道,http://flvforhls-pull-goldendragon.speedws.com:80/live/ms.flv
東森財經,http://flvforhls-pull-goldendragon.speedws.com:80/live/dscjxw.flv
東森新聞,http://flvforhls-pull-goldendragon.speedws.com:80/live/dsxw.flv

韩国中华TV,http://rihou.cc:555/tv/hktv%2Ftb19zhtv
Now星影(国),http://rihou.cc:555/tv/hktv%2Ftb19nowxy
Now爆谷(国),http://rihou.cc:555/tv/hktv%2Ftb19nowbg
Now华剧台,http://rihou.cc:555/tv/hktv%2Ftb19nowhj
Now剧集台,http://rihou.cc:555/tv/hktv%2Ftb19nowjj
Now紫金国际,http://rihou.cc:555/tv/hktv%2Ftb19nowje
HUB如意台,http://rihou.cc:555/tv/hktv%2Ftbbhubjy
TVB生活台,http://rihou.cc:555/tv/hktv%2Ftb19tvbzt
TVB功夫(国),http://rihou.cc:555/tv/hktv%2Ftb19tvbgf
TVB星河(国),http://rihou.cc:555/tv/hktv%2Ftbbyhh0811
东森电影台,http://rihou.cc:555/tv/hktv%2Ftbbggh0817
龙祥时代台,http://rihou.cc:555/tv/hktv%2Ftbbggh0818
美亚电影(台湾),http://rihou.cc:555/tv/hktv%2Ftb19twmy
动物星球(台湾),http://rihou.cc:555/tv/hktv%2Ftbtwxzt
曼迪日本台,http://rihou.cc:555/tv/hktv%2Fbtw8564
东风37台,http://rihou.cc:555/tv/hktv%2Fbtw8563

香港频,#genre#
凤凰中文,http://cdn6.163189.xyz:80/163189/fhzw
凤凰资讯,http://cdn6.163189.xyz:80/163189/fhzx
凤凰香港,http://cdn6.163189.xyz:80/163189/fhhk
无线新聞,http://cdn6.163189.xyz:80/163189/wxxw
无线翡翠,http://cdn6.163189.xyz:80/163189/fct
无线星河,http://cdn6.163189.xyz:80/163189/tvbxh
无线功夫,http://cdn6.163189.xyz:80/163189/yzwx
澳视澳门,http://cdn6.163189.xyz:80/163189/asam
澳视卫星,http://cdn6.163189.xyz:80/163189/as
央视综合,http://cdn6.163189.xyz:80/163189/cctv1
翡翠台4k,http://cdn6.163189.xyz:80/163189/fct4k
Plus综合,http://cdn6.163189.xyz:80/163189/tvbp
Hoytv77,http://cdn6.163189.xyz:80/163189/hoy
RTHK31,http://cdn.163189.xyz/163189/rthk31
RTHK32,http://cdn.163189.xyz/163189/rthk32
VIUTV粤,http://cdn.163189.xyz/163189/viu
Now新闻,http://cdn.163189.xyz/163189/now 
CHU综合,http://cdn6.163189.xyz:80/163189/chu
CH5综合,http://cdn6.163189.xyz:80/163189/ch5
CH8综合,http://cdn6.163189.xyz:80/163189/ch8
八度空间,http://cdn6.163189.xyz:80/163189/8tv

央卫推,#genre#
CCTV1,http://223.111.150.99:2005/ysws.php?id=CCTV1
CCTV2,http://223.111.150.99:2005/ysws.php?id=CCTV2
CCTV3,http://223.111.150.99:2005/ysws.php?id=CCTV3
CCTV4,http://223.111.150.99:2005/ysws.php?id=CCTV4
CCTV5,http://223.111.150.99:2005/ysws.php?id=CCTV5
CCTV5+,http://223.111.150.99:2005/ysws.php?id=CCTV5p
CCTV6,http://223.111.150.99:2005/ysws.php?id=CCTV6
CCTV7,http://223.111.150.99:2005/ysws.php?id=CCTV7
CCTV8,http://223.111.150.99:2005/ysws.php?id=CCTV8
CCTV9,http://223.111.150.99:2005/ysws.php?id=CCTV9
CCTV10,http://223.111.150.99:2005/ysws.php?id=CCTV10
CCTV11,http://223.111.150.99:2005/ysws.php?id=CCTV11
CCTV12,http://223.111.150.99:2005/ysws.php?id=CCTV12
CCTV13,http://223.111.150.99:2005/ysws.php?id=CCTV13
CCTV14,http://223.111.150.99:2005/ysws.php?id=CCTV14
CCTV15,http://223.111.150.99:2005/ysws.php?id=CCTV15
CCTV16,http://223.111.150.99:2005/ysws.php?id=CCTV16
CCTV17,http://223.111.150.99:2005/ysws.php?id=CCTV17
动作电影,http://144.48.185.78:1777/tv/mg4.php?id=CHC动作电影
影迷电影,http://144.48.185.78:1777/tv/mg4.php?id=CHC影迷电影
家庭影院,http://144.48.185.78:1777/tv/mg4.php?id=CHC家庭影院
CCTV4K,http://144.48.185.78:1777/tv/mg1.php?id=CCTV4K超高清
CCTV8K,http://144.48.185.78:1777/tv/mg1.php?id=CCTV8K超高清
第一剧场,http://144.48.185.78:1777/tv/mg1.php?id=CCTV第一剧场
风云剧场,http://144.48.185.78:1777/tv/mg1.php?id=CCTV风云剧场
怀旧剧场,http://144.48.185.78:1777/tv/mg1.php?id=CCTV怀旧剧场
风云音乐,http://144.48.185.78:1777/tv/mg1.php?id=CCTV风云音乐
风云足球,http://144.48.185.78:1777/tv/mg1.php?id=CCTV风云足球
高夫网球,http://144.48.185.78:1777/tv/mg1.php?id=CCTV高尔夫网球
央视台球,http://144.48.185.78:1777/tv/mg1.php?id=CCTV央视台球
电视指南,http://144.48.185.78:1777/tv/mg1.php?id=CCTV电视指南
兵器科技,http://144.48.185.78:1777/tv/mg1.php?id=CCTV兵器科技
世界地理,http://144.48.185.78:1777/tv/mg1.php?id=CCTV世界地理
女性时尚,http://144.48.185.78:1777/tv/mg1.php?id=CCTV女性时尚
卫生健康,http://144.48.185.78:1777/tv/mg1.php?id=CCTV卫生健康
央视精品,http://144.48.185.78:1777/tv/mg1.php?id=CCTV央视文化精品
北京卫视,http://223.111.150.99:2005/ysws.php?id=北京卫视
东方卫视,http://223.111.150.99:2005/ysws.php?id=东方卫视
湖南卫视,http://223.111.150.99:2005/ysws.php?id=湖南卫视
浙江卫视,http://223.111.150.99:2005/ysws.php?id=浙江卫视
江苏卫视,http://223.111.150.99:2005/ysws.php?id=江苏卫视
广东卫视,http://223.111.150.99:2005/ysws.php?id=广东卫视
山东卫视,http://223.111.150.99:2005/ysws.php?id=山东卫视
辽宁卫视,http://223.111.150.99:2005/ysws.php?id=辽宁卫视
湖北卫视,http://223.111.150.99:2005/ysws.php?id=湖北卫视
河北卫视,http://223.111.150.99:2005/ysws.php?id=河北卫视
河南卫视,http://223.111.150.99:2005/ysws.php?id=河南卫视
深圳卫视,http://223.111.150.99:2005/ysws.php?id=深圳卫视
天津卫视,http://223.111.150.99:2005/ysws.php?id天津卫视
重庆卫视,http://223.111.150.99:2005/ysws.php?id=重庆卫视
安徽卫视,http://223.111.150.99:2005/ysws.php?id=安徽卫视
东南卫视,http://223.111.150.99:2005/ysws.php?id=东南卫视
厦门卫视,http://223.111.150.99:2005/ysws.php?id=厦门卫视
山西卫视,http://223.111.150.99:2005/ysws.php?id=山西卫视
陕西卫视,http://223.111.150.99:2005/ysws.php?id=陕西卫视
四川卫视,http://223.111.150.99:2005/ysws.php?id=四川卫视
黑龙江台,http://223.111.150.99:2005/ysws.php?id=黑龙江卫视
吉林卫视,http://223.111.150.99:2005/ysws.php?id=吉林卫视
云南卫视,http://223.111.150.99:2005/ysws.php?id=云南卫视
贵州卫视,http://223.111.150.99:2005/ysws.php?id=贵州卫视
广西卫视,http://223.111.150.99:2005/ysws.php?id=广西卫视
江西卫视,http://223.111.150.99:2005/ysws.php?id=江西卫视
海南卫视,http://223.111.150.99:2005/ysws.php?id=海南卫视
三沙卫视,http://223.111.150.99:2005/ysws.php?id=三沙卫视
甘肃卫视,http://223.111.150.99:2005/ysws.php?id=甘肃卫视
青海卫视,http://223.111.150.99:2005/ysws.php?id=青海卫视
宁夏卫视,http://223.111.150.99:2005/ysws.php?id=宁夏卫视
内蒙古台,http://223.111.150.99:2005/ysws.php?id=内蒙古卫视
新疆卫视,http://223.111.150.99:2005/ysws.php?id=新疆卫视
西藏卫视,http://223.111.150.99:2005/ysws.php?id=西藏卫视
农林卫视,http://223.111.150.99:2005/ysws.php?id=农林卫视
兵团卫视,http://223.111.150.99:2005/ysws.php?id=兵团卫视

央视频,#genre#
CCTV1,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV2,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV3,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
(暂无)CCTV4,http://43.156.8.127:5050/ysp?id=2029797103&pid=600001814&q=fhd
CCTV5,http://43.156.8.127:5050/ysp?id=2024078401&pid=600001818&q=fhd
CCTV5+,http://43.156.8.127:5050/ysp?id=2024078001&pid=600001817&q=fhd
CCTV6,http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV7,http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
(暂无)CCTV8,http://43.156.8.127:5050/ysp?id=2029793001&pid=600001803&q=fhd
CCTV9,http://43.156.8.127:5050/ysp?id=2024078601&pid=600004078&q=fhd
CCTV10,http://43.156.8.127:5050/ysp?id=2024078701&pid=600001805&q=fhd
CCTV11,http://43.156.8.127:5050/ysp?id=2027248701&pid=600001806&q=fhd
CCTV12,http://43.156.8.127:5050/ysp?id=2027248801&pid=600001807&q=fhd
(暂无)CCTV13,http://43.156.8.127:5050/ysp?id=2029797203&pid=600001811&q=fhd
CCTV14,http://43.156.8.127:5050/ysp?id=2027248901&pid=600001809&q=fhd
CCTV15,http://43.156.8.127:5050/ysp?id=2027249001&pid=600001815&q=fhd
CCTV16,http://43.156.8.127:5050/ysp?id=2027249101&pid=600098637&q=fhd
CCTV16(4K),http://43.156.8.127:5050/ysp?id=2027249301&pid=600099502&q=fhd
CCTV17,http://43.156.8.127:5050/ysp?id=2027249401&pid=600001810&q=fhd
CCTV4K,http://43.156.8.127:5050/ysp?id=2027249501&pid=600002264&q=fhd
CCTV8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
CGTN,http://43.156.8.127:5050/ysp?id=2024181701&pid=600014550&q=fhd
CGTN法语,http://43.156.8.127:5050/ysp?id=2024181801&pid=600084704&q=fhd
CGTN俄语,http://43.156.8.127:5050/ysp?id=2024181901&pid=600084758&q=fhd
CGTN阿拉伯语,http://43.156.8.127:5050/ysp?id=2024182001&pid=600084782&q=fhd
CGTN西班牙语,http://43.156.8.127:5050/ysp?id=2024182101&pid=600084744&q=fhd
CGTN纪录,http://43.156.8.127:5050/ysp?id=2024182301&pid=600084781&q=fhd
第一剧场,http://43.156.8.127:5050/ysp?id=2026874203&pid=600099655&q=fhd
风云剧场,http://43.156.8.127:5050/ysp?id=2025637103&pid=600099658&q=fhd
怀旧剧场,http://43.156.8.127:5050/ysp?id=2026874303&pid=600099620&q=fhd
第一剧场,http://43.156.8.127:5050/ysp?id=2026874203&pid=600099655&q=fhd
风云剧场,http://43.156.8.127:5050/ysp?id=2025637103&pid=600099658&q=fhd
怀旧剧场,http://43.156.8.127:5050/ysp?id=2026874303&pid=600099620&q=fhd
世界地理,http://43.156.8.127:5050/ysp?id=2026874403&pid=600099637&q=fhd
风云音乐,http://43.156.8.127:5050/ysp?id=2026874503&pid=600099660&q=fhd
