分类: 极速频, 名称: NATURE, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 171 ms, 最高速率: 0.83 M/s, 平均速率: 0.83 M/s, 最高分辨率: 1920x1080
分类: 极速频, 名称: TVBSHD, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 285 ms, 最高速率: 0.34 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 极速频, 名称: 寰宇新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 144 ms, 最高速率: 0.32 M/s, 平均速率: 0.32 M/s, 最高分辨率: 1280x720
分类: 极速频, 名称: 中天新闻, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 144 ms, 最高速率: 0.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 极速频, 名称: 寰宇台湾, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 163 ms, 最高速率: 0.42 M/s, 平均速率: 0.42 M/s, 最高分辨率: 1280x720
分类: 极速频, 名称: 纬来体育, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 1795 ms, 最高速率: 2.19 M/s, 平均速率: 2.19 M/s, 最高分辨率: 1280x720
分类: 极速频, 名称: 凤凰香港, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 2186 ms, 最高速率: 0.35 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 极速频, 名称: 凤凰资讯, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1763 ms, 最高速率: 0.54 M/s, 平均速率: 0.00 M/s, 最高分辨率: 0x0
分类: 极速频, 名称: 凤凰中文, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1706 ms, 最高速率: 0.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 0x0
分类: 极速频, 名称: TVB翡翠, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 1709 ms, 最高速率: 0.34 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 极速频, 名称: TVB明珠, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 746 ms, 最高速率: 0.54 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
