🕘️更新时间,#genre#
2026-02-27 11:05:38,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwt.flv

极速频,#genre#
寰宇新闻,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwt.flv
寰宇台湾,http://flvforhls-pull-goldendragon.speedws.com:80/live/hyxwttw.flv
NATURE,http://flvforhls-pull-goldendragon.speedws.com:80/live/7d5f20760e822b71a37ce8150c051891.flv
纬来体育,https://live12.xiazhix1.top/live/41890675.m3u8
TVB明珠,https://livepull1.longone.com.cn/live/mz-BSiV4DIH3Qioo67O7vqDQtOjpjxkM1vLhWvmbKPO8XQQUTmXADAvbeJN92wj2tvYh9.flv
TVB plus,https://livepull1.longone.com.cn/live/tvb-KGhfThCwqWGSnut5B8jFjcPfxqXfVsEx8kMdF3rC6P31blPC8SoFdchCEgMh3SznKW.flv
酷哒哒频,http://o11.163189.xyz/stream/live/test/
无线翡翠,https://o11.163189.xyz/stream/tvb/fct/
无线明珠,https://o11.163189.xyz/stream/tvb/mzt/
华丽翡翠,https://o11.163189.xyz/stream/live/hlt/
千禧经典,https://o11.163189.xyz/stream/live/tvbc/
天映经典,https://o11.163189.xyz/stream/live/ccm/
天映频道,https://o11.163189.xyz/stream/live/typd/
爱奇艺台,https://o11.163189.xyz/stream/live/iqiyi/
TVB星河,https://o11.163189.xyz/stream/live/tvbxh/
AstroAod,https://o11.163189.xyz/stream/live/aod/
AstroAec,https://o11.163189.xyz/stream/live/aec/
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
成龙电影,http://38.75.136.137:98/gslb/dsdqpub/lbcl.m3u8?auth=testpub
正英电影,http://38.75.136.137:98/gslb/dsdqpub/lblzy.m3u8?auth=testpub
星驰电影,http://38.75.136.137:98/gslb/dsdqpub/lbzxc.m3u8?auth=testpub
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub
龙华电影,http://cdn8.163189.xyz/163189/lhdy
龙华经典,http://cdn8.163189.xyz/163189/lhjd
龙华偶像,http://cdn8.163189.xyz/163189/lhox
龙华日韩,http://cdn8.163189.xyz/163189/lhrh
龙华戏剧,http://cdn8.163189.xyz/163189/lhxj

港推流,#genre#
凤凰卫视中文台,http://pull-vivek.speedws.com/live/aaafhzw.flv
凤凰卫视资讯台,http://pull-vivek.speedws.com/live/aaafhzx.flv
凤凰卫视香港台,http://pull-vivek.speedws.com/live/aaafhxg.flv
TVB翡翠台,http://pull-vivek.speedws.com/live/aaajade.flv
TVB翡翠台,http://144.48.185.78:1777/tv/mg2.php?id=翡翠台1
无线新闻台,http://144.48.185.78:1777/tv/mg2.php?id=无线新闻台1
TVB J1,http://144.48.185.78:1777/tv/mg2.php?id=J1
now新闻,http://144.48.185.78:1777/tv/mg2.php?id=now新闻1
HOY 76,http://144.48.185.78:1777/tv/mg2.php?id=HOY76一
HOY 76,http://pull-vivek.speedws.com/live/aaahoy76.flv
HOY 78,http://144.48.185.78:1777/tv/mg2.php?id=HOY78一
HOY 78,http://pull-vivek.speedws.com/live/aaahoy78.flv
TVB娱乐新闻,http://pull-vivek.speedws.com/live/aaaylxw.flv
Mytv千禧经典,http://pull-vivek.speedws.com/live/aaamqxjd.flv
Mytv SUPER FREE,http://pull-vivek.speedws.com/live/aaaSUPERFREE.flv
Mytv华语剧台,http://pull-vivek.speedws.com/live/aaahyjt.flv
Mytv亚洲剧台,http://pull-vivek.speedws.com/live/aaayzjt.flv
Mytv黄金华剧台,http://pull-vivek.speedws.com/live/aaahjhj.flv
Mytv黄金翡翠台,http://pull-vivek.speedws.com/live/aaahjfc.flv
Mytv戏曲台,http://pull-vivek.speedws.com/live/aaaxqt.flv
天映频道,http://pull-vivek.speedws.com/live/aaatypd.flv
天映经典,http://pull-vivek.speedws.com/live/aaatyjd.flv
Mytv跑马台,http://pull-vivek.speedws.com/live/aaapm18.flv
POPC,http://pull-vivek.speedws.com/live/aaapopc.flv
美亚电影,http://pull-vivek.speedws.com/live/aaamydy.flv
ROCK综艺娱乐,http://pull-vivek.speedws.com/live/aaarock1.flv

湾推流,#genre#
中视,http://pull-vivek.speedws.com:80/live/ba60524dff98dcbbdaff26100190e91c.flv
华视,http://pull-vivek.speedws.com:80/live/67797f93ca6dff4f1e3f16bdd7a63290.flv
